                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3927,                 4.4737,                 4.3311,                0.00231,                0.17436,                0.00289,                0.00073,                 3.0588,                 4.4398,                 4.1583,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 3.4006,                 4.3874,                 4.2603,                0.00237,                0.17913,                0.00318,                0.00076,                 3.0579,                 4.4402,                 4.1574,             0.00014264,             0.00014264,             0.00014264
                      3,                 3.3481,                 4.3286,                 4.2172,                0.00232,                0.18143,                0.00324,                 0.0008,                 3.0568,                 4.4412,                 4.1563,              0.0002167,              0.0002167,              0.0002167
                      4,                 3.4206,                  4.315,                 4.1839,                0.00261,                0.20121,                0.00242,                0.00062,                 3.0556,                 4.4438,                 4.1548,             0.00028883,             0.00028883,             0.00028883
                      5,                 3.3071,                 4.2122,                 4.1433,                0.00248,                0.20505,                0.00273,                0.00066,                 3.0507,                 4.4523,                 4.1521,             0.00035904,             0.00035904,             0.00035904
                      6,                 3.2383,                 4.1934,                 4.1003,                0.00264,                0.21667,                0.00268,                0.00065,                 3.0456,                 4.4607,                 4.1498,             0.00042733,             0.00042733,             0.00042733
                      7,                 3.3439,                 4.0806,                 4.0255,                0.00244,                0.20874,                0.00294,                0.00078,                 3.0333,                  4.494,                 4.1519,             0.00049368,             0.00049368,             0.00049368
                      8,                 3.2892,                 3.9592,                 3.9508,                0.00239,                0.20604,                0.00328,                0.00084,                  3.023,                 4.5252,                 4.1597,             0.00055812,             0.00055812,             0.00055812
                      9,                 3.2465,                  3.947,                 3.9136,                 0.0024,                0.22121,                0.00275,                0.00074,                 3.0264,                 4.5887,                 4.1917,             0.00062063,             0.00062063,             0.00062063
                     10,                  3.171,                 3.8324,                 3.8159,                0.00253,                0.23246,                0.00316,                0.00079,                 3.0391,                 4.6534,                 4.2272,             0.00068121,             0.00068121,             0.00068121
                     11,                  3.087,                 3.8574,                 3.7783,                 0.0025,                0.21029,                 0.0041,                0.00095,                 3.0796,                 4.8169,                 4.3293,             0.00073987,             0.00073987,             0.00073987
                     12,                 3.0621,                 3.7334,                  3.704,                0.00237,                0.19454,                0.00834,                0.00149,                 3.0906,                 4.9026,                 4.3946,             0.00079661,             0.00079661,             0.00079661
