                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3927,                 4.4737,                 4.3311,                0.00231,                0.17436,                0.00289,                0.00073,                 3.0588,                 4.4398,                 4.1583,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 3.4034,                 4.3924,                 4.2651,                0.00226,                0.17419,                0.00276,                 0.0007,                 3.0579,                 4.4404,                 4.1576,             9.6768e-05,             9.6768e-05,             9.6768e-05
                      3,                 3.3416,                  4.357,                 4.2455,                0.00234,                0.18333,                0.00304,                0.00071,                 3.0567,                  4.442,                 4.1571,             7.5548e-05,             7.5548e-05,             7.5548e-05
