                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.3144,                  2.859,                 2.7712,                0.23728,                0.26827,                0.17871,                0.07438,                 2.1423,                 3.1281,                 2.7559,             0.00075904,             0.00075904,             0.00075904
                     35,                 2.2897,                 2.8695,                 2.7447,                0.27506,                0.26308,                0.19623,                0.08306,                 2.0882,                  3.108,                 2.7113,             0.00074804,             0.00074804,             0.00074804
                     36,                  2.209,                 2.8406,                 2.6778,                0.38664,                0.21719,                 0.2168,                0.09719,                 2.0685,                 3.0557,                 2.6598,             0.00073704,             0.00073704,             0.00073704
                     37,                 2.1717,                 2.7669,                 2.6489,                0.22403,                0.26293,                 0.2206,                0.09764,                 2.0863,                  3.066,                 2.6613,             0.00072604,             0.00072604,             0.00072604
                     38,                 2.1468,                 2.7387,                 2.6588,                0.26338,                0.25608,                0.24015,                0.11231,                  2.063,                 2.9542,                 2.6817,             0.00071504,             0.00071504,             0.00071504
                     39,                 2.1754,                  2.699,                 2.6413,                0.27647,                0.30076,                0.28535,                0.13101,                 2.0021,                 2.8182,                 2.6322,             0.00070404,             0.00070404,             0.00070404
                     40,                 2.0927,                 2.6934,                 2.5897,                0.32101,                0.30259,                0.27075,                0.12606,                 1.9691,                 2.8312,                 2.6343,             0.00069304,             0.00069304,             0.00069304
                     41,                 2.0763,                  2.634,                 2.5789,                0.48385,                  0.286,                0.26672,                0.12365,                 1.9529,                 2.8667,                 2.6523,             0.00068204,             0.00068204,             0.00068204
                     42,                 2.0906,                 2.6394,                 2.5575,                0.82985,                 0.1781,                0.25905,                0.12152,                 1.9427,                 2.8933,                 2.6226,             0.00067104,             0.00067104,             0.00067104
                     43,                 2.0329,                 2.5957,                 2.5173,                0.44783,                0.32484,                0.26743,                0.12362,                 1.9164,                 2.8146,                 2.5629,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.9858,                 2.4691,                 2.4832,                0.84069,                0.19013,                0.28923,                0.14122,                 1.9173,                 2.6642,                 2.5638,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.9894,                 2.5284,                 2.4991,                 0.3443,                0.33261,                0.28174,                0.13841,                  1.938,                  2.681,                    2.6,             0.00063805,             0.00063805,             0.00063805
                     46,                 2.0216,                 2.5701,                 2.4874,                0.31959,                0.32207,                0.31581,                0.15883,                 1.8747,                 2.5448,                 2.5262,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.9648,                 2.5626,                 2.4703,                0.31759,                0.36109,                0.33616,                0.16608,                 1.8321,                  2.568,                 2.4663,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.9628,                 2.5086,                 2.4529,                0.46474,                0.32121,                0.29661,                0.14932,                 1.8432,                 2.6395,                 2.4785,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.9593,                 2.4493,                 2.4251,                0.31783,                0.31192,                0.28743,                0.14265,                 1.8765,                   2.66,                 2.5444,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.9846,                 2.4296,                 2.4573,                0.34075,                 0.3253,                0.30998,                0.15506,                 1.8339,                 2.6272,                 2.4973,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.9184,                 2.4211,                 2.4036,                 0.4381,                0.35089,                0.33336,                0.17299,                 1.7877,                 2.5909,                 2.4575,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.9086,                 2.4017,                 2.3883,                0.34107,                0.39831,                0.36869,                0.19129,                 1.7633,                 2.3946,                  2.371,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.8882,                 2.3672,                 2.3723,                0.39075,                0.39707,                0.37398,                0.19616,                 1.7626,                 2.4224,                 2.4159,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.8496,                 2.3482,                 2.3466,                0.39955,                0.40449,                0.36478,                0.18584,                 1.7812,                 2.4207,                 2.4014,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.8905,                 2.4387,                 2.3872,                0.35785,                0.39769,                0.36631,                0.19387,                 1.7271,                  2.442,                   2.38,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.8983,                 2.4086,                  2.382,                0.39898,                0.43555,                0.39839,                0.21294,                 1.7184,                 2.3352,                 2.3442,             0.00051706,             0.00051706,             0.00051706
                     57,                  1.879,                 2.3292,                 2.3464,                0.37532,                0.47059,                0.42558,                0.22342,                  1.701,                 2.3079,                 2.3058,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.8638,                 2.3277,                 2.3523,                0.40851,                0.44763,                0.41887,                0.22351,                 1.6517,                 2.3035,                 2.2681,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.8286,                 2.2348,                 2.3131,                0.39206,                0.46405,                0.40236,                0.21944,                 1.6371,                 2.3258,                  2.249,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.8142,                 2.2767,                 2.2847,                0.41148,                0.42492,                0.40971,                0.22067,                 1.6757,                 2.3061,                 2.2468,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.7398,                 2.1427,                 2.2115,                0.34704,                 0.4664,                0.42004,                0.23172,                 1.6446,                 2.2606,                 2.2043,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.7383,                 2.1225,                 2.2508,                0.43556,                0.47666,                0.43615,                0.23379,                 1.6218,                 2.2162,                 2.1893,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.7661,                 2.1515,                 2.2399,                0.44453,                0.45594,                 0.4359,                0.23592,                 1.6641,                 2.2706,                 2.2309,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.7463,                 2.1622,                 2.2489,                0.44383,                0.44938,                0.43745,                0.24309,                 1.6099,                  2.213,                 2.2168,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.6974,                  2.096,                 2.2119,                0.44635,                0.47122,                0.44599,                0.25697,                 1.5524,                 2.1479,                 2.1753,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.7519,                 2.1423,                 2.2361,                0.43389,                0.47182,                0.45719,                0.25926,                 1.5539,                 2.1354,                 2.1737,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.7349,                 2.1156,                 2.1964,                0.48149,                0.48972,                0.48354,                0.26817,                 1.5737,                 2.1402,                 2.1896,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.7361,                 2.1366,                 2.1996,                0.48137,                0.51767,                0.51057,                0.29059,                 1.5576,                 2.0792,                 2.1589,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.7425,                 2.1674,                 2.2439,                0.49095,                0.49801,                0.47852,                0.27346,                 1.5571,                 2.1246,                 2.1814,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.7357,                 2.1258,                 2.2109,                0.46773,                0.50186,                0.47936,                0.28232,                 1.5297,                 2.0722,                 2.1515,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.6578,                 2.0531,                 2.1688,                0.46677,                0.53984,                 0.4922,                0.28041,                 1.5458,                 2.0145,                 2.1414,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.6775,                  2.088,                  2.179,                0.51779,                0.55704,                0.52042,                0.30592,                 1.4929,                  1.971,                  2.107,             0.00034108,             0.00034108,             0.00034108
                     73,                  1.652,                 1.9816,                 2.1334,                0.50114,                0.51441,                0.52988,                0.31247,                 1.4727,                 1.9746,                 2.1068,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.6738,                   2.08,                 2.1797,                0.53395,                0.45111,                0.50959,                0.30187,                 1.5055,                   2.09,                 2.1416,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.7381,                 2.0222,                  2.188,                0.52296,                0.48137,                0.51316,                0.30046,                 1.5343,                 2.1084,                 2.1451,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.6519,                 2.0756,                 2.1625,                0.56227,                0.55813,                0.54606,                0.32307,                 1.4907,                   1.94,                 2.1034,             0.00029708,             0.00029708,             0.00029708
                     77,                  1.643,                 2.0715,                 2.1545,                0.57734,                0.59693,                0.57637,                0.34392,                 1.4505,                 1.8722,                 2.0555,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.6205,                 1.9602,                 2.1055,                0.55688,                0.62223,                0.59792,                0.35969,                 1.4188,                 1.8727,                 2.0332,             0.00027508,             0.00027508,             0.00027508
                     79,                  1.607,                 1.9179,                 2.0846,                0.48809,                0.61114,                0.57349,                0.34481,                 1.4295,                 1.8829,                 2.0459,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.5784,                 1.9671,                 2.0977,                0.50512,                0.55933,                0.55708,                0.33137,                 1.4345,                 1.8748,                 2.0575,             0.00025309,             0.00025309,             0.00025309
                     81,                  1.662,                 1.9426,                 2.1122,                0.50643,                0.56617,                0.55318,                0.33734,                 1.4077,                 1.8782,                  2.038,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.5681,                  1.932,                  2.076,                 0.5043,                0.60632,                0.56557,                0.34311,                 1.4071,                 1.8757,                 2.0356,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.6347,                 1.9524,                 2.0968,                0.51578,                0.62813,                0.57407,                0.34982,                  1.396,                 1.8371,                 2.0223,             0.00022009,             0.00022009,             0.00022009
                     84,                 1.6212,                 1.9515,                 2.1102,                0.53313,                 0.5799,                0.55223,                0.34202,                 1.4132,                   1.84,                 2.0286,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.5728,                 1.8812,                 2.0424,                0.53493,                0.57622,                 0.5589,                0.34698,                 1.4019,                 1.8258,                 2.0196,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.5713,                 1.8562,                 2.0455,                0.54783,                0.59159,                0.57978,                0.36282,                 1.3787,                 1.7874,                 1.9973,             0.00018709,             0.00018709,             0.00018709
