                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3264,                 4.4975,                  4.327,                      0,                      0,                      0,                      0,                      0,                 132.49,                      0,              8.888e-05,              8.888e-05,              8.888e-05
                      2,                 3.3074,                 4.3953,                 4.2467,                      0,                      0,                      0,                      0,                      0,                 132.94,                      0,               0.000187,               0.000187,               0.000187
                      3,                 3.3717,                 4.3408,                 4.2048,                      0,                      0,                      0,                      0,                      0,                    133,                      0,             0.00028314,             0.00028314,             0.00028314
                      4,                 3.3362,                 4.2469,                 4.1474,                      0,                      0,                      0,                      0,                      0,                 132.17,                      0,              0.0003773,              0.0003773,              0.0003773
                      5,                 3.2686,                 4.1922,                 4.0871,                      0,                      0,                      0,                      0,                      0,                 129.29,                      0,             0.00046948,             0.00046948,             0.00046948
                      6,                 3.2668,                 4.0911,                 3.9901,                      0,                      0,                      0,                      0,                      0,                 122.28,                      0,             0.00055968,             0.00055968,             0.00055968
                      7,                 3.2304,                 3.9773,                 3.9364,                      0,                      0,                      0,                      0,                      0,                 109.28,                      0,              0.0006479,              0.0006479,              0.0006479
                      8,                 3.2236,                 3.8716,                 3.8228,                      0,                      0,                      0,                      0,                      0,                  102.5,                      0,             0.00073415,             0.00073415,             0.00073415
                      9,                   3.18,                 3.8397,                  3.753,                      0,                      0,                      0,                      0,                      0,                 154.11,                      0,             0.00081841,             0.00081841,             0.00081841
                     10,                  3.085,                 3.7821,                 3.6658,                      0,                      0,                      0,                      0,                      0,                 122.86,                      0,             0.00090069,             0.00090069,             0.00090069
                     11,                 3.0366,                 3.7916,                 3.6307,                      0,                      0,                      0,                      0,                      0,                 161.34,                      0,             0.00098099,             0.00098099,             0.00098099
                     12,                 3.0534,                  3.703,                 3.5468,                      0,                      0,                      0,                      0,                      0,                 1976.2,                      0,             0.00099001,             0.00099001,             0.00099001
                     13,                 3.0455,                 3.7039,                 3.5103,                      0,                      0,                      0,                      0,                      0,                 2990.7,                      0,             0.00099001,             0.00099001,             0.00099001
                     14,                 2.9736,                 3.6033,                 3.4159,                      0,                      0,                      0,                      0,                      0,                 917.69,                      0,             0.00097901,             0.00097901,             0.00097901
                     15,                 2.9351,                 3.5375,                 3.3554,                      0,                      0,                      0,                      0,                      0,                 133.32,                      0,             0.00096801,             0.00096801,             0.00096801
                     16,                  2.915,                 3.5465,                 3.3448,                      0,                      0,                      0,                      0,                      0,                 151.11,                      0,             0.00095702,             0.00095702,             0.00095702
                     17,                 2.8828,                 3.5556,                 3.3511,                      0,                      0,                      0,                      0,                      0,                 199.72,                      0,             0.00094602,             0.00094602,             0.00094602
                     18,                 2.8555,                 3.4572,                  3.295,                      0,                      0,                      0,                      0,                      0,                 405.22,                      0,             0.00093502,             0.00093502,             0.00093502
                     19,                 2.8438,                 3.3989,                 3.2379,                      0,                      0,                      0,                      0,                      0,                 857.04,                      0,             0.00092402,             0.00092402,             0.00092402
                     20,                 2.8185,                 3.4368,                 3.2701,                      0,                      0,                      0,                      0,                      0,                 398.01,                      0,             0.00091302,             0.00091302,             0.00091302
                     21,                 2.6933,                 3.3269,                 3.1648,                      0,                      0,                      0,                      0,                      0,                 326.88,                      0,             0.00090202,             0.00090202,             0.00090202
                     22,                 2.7301,                 3.3682,                 3.1591,                      0,                      0,                      0,                      0,                      0,                 402.27,                      0,             0.00089102,             0.00089102,             0.00089102
                     23,                 2.7054,                 3.2871,                 3.1033,                      0,                      0,                      0,                      0,                      0,                 398.25,                      0,             0.00088002,             0.00088002,             0.00088002
                     24,                 2.6959,                 3.2244,                 3.0389,                      0,                      0,                      0,                      0,                      0,                 312.67,                      0,             0.00086902,             0.00086902,             0.00086902
                     25,                 2.6364,                  3.269,                 3.0458,                      0,                      0,                      0,                      0,                      0,                 358.73,                      0,             0.00085803,             0.00085803,             0.00085803
                     26,                 2.6178,                 3.1936,                 3.0057,                      0,                      0,                      0,                      0,                      0,                 360.44,                      0,             0.00084703,             0.00084703,             0.00084703
                     27,                 2.5239,                 3.1113,                  2.964,                      0,                      0,                      0,                      0,                      0,                 355.94,                      0,             0.00083603,             0.00083603,             0.00083603
                     28,                 2.5609,                 3.1651,                 2.9801,                      0,                      0,                      0,                      0,                      0,                 407.48,                      0,             0.00082503,             0.00082503,             0.00082503
                     29,                 2.4457,                   3.03,                 2.9061,                      0,                      0,                      0,                      0,                      0,                 367.55,                      0,             0.00081403,             0.00081403,             0.00081403
                     30,                  2.444,                 3.1678,                 2.9088,                      0,                      0,                      0,                      0,                      0,                    427,                      0,             0.00080303,             0.00080303,             0.00080303
                     31,                 2.3407,                 3.0625,                 2.8426,                      0,                      0,                      0,                      0,                      0,                  377.3,                      0,             0.00079203,             0.00079203,             0.00079203
                     32,                 2.3595,                 3.0325,                 2.8358,                      0,                      0,                      0,                      0,                      0,                 238.98,                      0,             0.00078103,             0.00078103,             0.00078103
                     33,                 2.3286,                 2.9745,                 2.8119,                      0,                      0,                      0,                      0,                      0,                 198.28,                      0,             0.00077003,             0.00077003,             0.00077003
