                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3264,                 4.4975,                  4.327,                0.00223,                0.19437,                0.00244,                0.00061,                 3.0234,                 4.4675,                 4.1582,              8.888e-05,              8.888e-05,              8.888e-05
                      2,                 3.3104,                 4.3922,                 4.2479,                0.00211,                0.20558,                0.00265,                0.00073,                 3.0226,                 4.4693,                  4.157,             0.00018442,             0.00018442,             0.00018442
                      3,                 3.3658,                 4.3436,                 4.2155,                0.00223,                0.21976,                0.00577,                0.00142,                 3.0223,                 4.4719,                 4.1559,             0.00027524,             0.00027524,             0.00027524
                      4,                 3.3379,                 4.2552,                 4.1515,                0.00212,                0.20977,                0.00974,                0.00385,                 3.0204,                 4.4776,                 4.1541,             0.00036135,             0.00036135,             0.00036135
                      5,                  3.265,                 4.1879,                 4.1021,                0.00219,                0.21356,                0.01597,                0.00736,                 3.0175,                 4.4978,                 4.1545,             0.00044275,             0.00044275,             0.00044275
                      6,                 3.2774,                 4.1164,                  4.021,                0.00245,                0.23308,                0.00489,                0.00165,                 3.0163,                 4.5335,                 4.1664,             0.00051943,             0.00051943,             0.00051943
                      7,                 3.2269,                 4.0086,                 3.9541,                0.00231,                0.23494,                0.00548,                 0.0014,                 3.0209,                 4.5913,                 4.1875,              0.0005914,              0.0005914,              0.0005914
                      8,                 3.2289,                 3.9059,                 3.8514,                0.00245,                0.25878,                0.00436,                0.00105,                 3.0566,                 4.6892,                 4.2325,             0.00065866,             0.00065866,             0.00065866
                      9,                 3.1901,                 3.8777,                 3.7693,                0.00257,                 0.2356,                0.01307,                0.00509,                 3.0454,                 4.7914,                 4.3253,              0.0007212,              0.0007212,              0.0007212
                     10,                 3.0955,                 3.7842,                 3.6871,                0.00283,                0.23078,                0.01269,                0.00415,                 3.0524,                 4.9436,                 4.3655,             0.00077903,             0.00077903,             0.00077903
                     11,                 3.0534,                  3.786,                 3.6413,                0.00275,                0.27189,                0.01168,                0.00261,                 3.0626,                 5.0193,                 4.3613,             0.00083214,             0.00083214,             0.00083214
                     12,                 3.0177,                 3.6796,                 3.5465,                0.00281,                0.25749,                 0.0051,                0.00131,                 3.0893,                 5.0585,                 4.3551,             0.00082293,             0.00082293,             0.00082293
                     13,                 3.0669,                  3.697,                 3.5204,                 0.0048,                0.16915,                0.00402,                0.00111,                 3.0748,                 5.1266,                 4.3742,             0.00082293,             0.00082293,             0.00082293
