                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 2.9903,                 3.6538,                 3.4627,                 0.0045,                0.19063,                0.00376,                0.00098,                  3.031,                 4.8036,                 4.3353,             0.00079675,             0.00079675,             0.00079675
                     15,                 2.9613,                 3.5578,                 3.4147,                0.00524,                0.29988,                0.00593,                0.00154,                  2.961,                 4.6478,                 4.1112,             0.00077056,             0.00077056,             0.00077056
                     16,                 2.9569,                  3.592,                 3.3945,                0.01876,                0.07811,                0.00983,                 0.0027,                  2.854,                 4.9412,                 3.7885,             0.00074437,             0.00074437,             0.00074437
                     17,                 2.9449,                 3.5977,                 3.3974,                0.03426,                0.07335,                0.02134,                0.00609,                 2.7769,                  4.266,                 3.6294,             0.00071818,             0.00071818,             0.00071818
                     18,                  2.885,                 3.5089,                 3.3331,                 0.3053,                0.07646,                0.03021,                0.00804,                 2.7378,                 4.1659,                 3.5911,             0.00069199,             0.00069199,             0.00069199
                     19,                 2.9058,                 3.4398,                 3.2826,                0.46301,                0.07186,                0.03663,                 0.0113,                 2.6927,                 3.8235,                 3.4724,             0.00066581,             0.00066581,             0.00066581
                     20,                 2.8731,                 3.4489,                 3.2934,                0.25441,                0.10005,                0.03592,                0.01067,                 2.6279,                 3.8776,                 3.4519,             0.00063962,             0.00063962,             0.00063962
                     21,                 2.7432,                 3.3268,                 3.1898,                0.28157,                0.10901,                0.04439,                0.01303,                 2.6382,                 3.8359,                 3.3385,             0.00061343,             0.00061343,             0.00061343
                     22,                 2.8065,                 3.3696,                 3.2012,                0.05906,                0.13067,                0.05081,                0.01672,                 2.6362,                 3.9805,                 3.2724,             0.00058724,             0.00058724,             0.00058724
                     23,                 2.7815,                 3.2714,                 3.1454,                0.28902,                0.16346,                0.05789,                0.01916,                 2.5679,                 3.8128,                 3.2376,             0.00056105,             0.00056105,             0.00056105
                     24,                 2.7547,                 3.2204,                 3.0761,                 0.0796,                0.18311,                0.06446,                0.02089,                 2.5467,                 3.7326,                 3.1623,             0.00053487,             0.00053487,             0.00053487
                     25,                 2.6898,                 3.2947,                 3.0879,                0.32023,                0.21133,                0.09741,                0.03558,                 2.4893,                 3.4395,                 3.0859,             0.00050868,             0.00050868,             0.00050868
                     26,                 2.6759,                 3.2314,                 3.0659,                0.32864,                0.19134,                0.10857,                 0.0426,                 2.4345,                 3.2866,                 3.1044,             0.00048249,             0.00048249,             0.00048249
                     27,                 2.5995,                 3.1482,                 3.0268,                0.68396,                0.11325,                0.11689,                0.04505,                 2.5132,                 3.5126,                 3.1213,              0.0004563,              0.0004563,              0.0004563
                     28,                 2.6142,                 3.2406,                 3.0322,                0.39838,                0.16025,                0.16077,                0.06037,                 2.3844,                 3.3487,                 2.9735,             0.00043012,             0.00043012,             0.00043012
                     29,                 2.5116,                 3.1209,                 2.9625,                0.23279,                0.18767,                0.15506,                0.06311,                 2.3058,                 3.2205,                 2.9181,             0.00040393,             0.00040393,             0.00040393
                     30,                 2.5061,                 3.2307,                 2.9804,                 0.1946,                 0.2121,                0.17354,                0.06977,                 2.2607,                 3.2032,                 2.8553,             0.00037774,             0.00037774,             0.00037774
                     31,                 2.4494,                 3.1265,                 2.9175,                0.60047,                0.15054,                 0.1743,                0.07266,                  2.266,                 3.3223,                 2.8285,             0.00035155,             0.00035155,             0.00035155
                     32,                 2.4603,                 3.0906,                 2.9181,                0.24247,                 0.2434,                0.18762,                0.07781,                 2.2116,                 3.1714,                 2.7977,             0.00032536,             0.00032536,             0.00032536
                     33,                 2.3213,                 3.2955,                  2.868,                0.24173,                0.20286,                0.18681,                 0.0799,                 2.1831,                 3.1811,                 2.7952,             0.00029918,             0.00029918,             0.00029918
                     34,                 2.2799,                 3.2552,                  2.832,                0.24924,                0.22494,                0.21474,                0.08928,                 2.1659,                 3.1371,                 2.7809,             0.00027299,             0.00027299,             0.00027299
                     35,                 2.2388,                  3.175,                 2.8408,                0.25175,                0.24456,                0.21457,                0.08504,                 2.1658,                 3.1022,                 2.8028,              0.0002468,              0.0002468,              0.0002468
                     36,                 2.1949,                 3.1646,                  2.816,                0.47142,                 0.2446,                0.22283,                0.09103,                 2.1316,                 3.0816,                 2.7859,             0.00022061,             0.00022061,             0.00022061
                     37,                 2.1562,                 3.0198,                 2.7939,                0.67796,                0.22517,                0.24318,                0.10421,                    2.1,                 3.0549,                 2.7467,             0.00019442,             0.00019442,             0.00019442
                     38,                 2.1486,                 3.0346,                  2.749,                0.68029,                0.22701,                0.25527,                0.11445,                 2.0672,                 3.0496,                 2.7088,             0.00016824,             0.00016824,             0.00016824
                     39,                 2.1593,                 3.0375,                  2.758,                0.60313,                   0.26,                0.26244,                0.12185,                 2.0361,                 3.0443,                 2.6796,             0.00014205,             0.00014205,             0.00014205
                     40,                 2.0976,                 2.9658,                 2.7585,                0.31206,                0.29838,                0.27873,                0.13412,                 2.0168,                 2.9781,                 2.6557,             0.00011586,             0.00011586,             0.00011586
                     41,                 2.0401,                 2.9195,                 2.7128,                0.40953,                0.29201,                0.28947,                0.13697,                 2.0162,                 2.9411,                 2.6546,             8.9674e-05,             8.9674e-05,             8.9674e-05
                     42,                 2.0868,                 2.9687,                 2.7167,                0.63392,                0.27575,                0.29093,                0.13893,                 2.0212,                  2.919,                 2.6582,             6.3486e-05,             6.3486e-05,             6.3486e-05
